user_preference_id,user_id,recipe_id,preference_level,liked
1,1,1,5,TRUE
2,1,137,4,FALSE
3,1,162,5,TRUE
4,1,190,1,FALSE
5,1,178,3,TRUE
6,1,118,2,FALSE
7,1,21,4,TRUE
8,1,141,3,FALSE
9,1,76,3,TRUE
10,1,173,4,FALSE
11,1,84,2,TRUE
12,1,28,3,FALSE
13,1,56,2,TRUE
14,1,12,2,FALSE
15,1,73,4,TRUE
16,1,71,4,FALSE
17,1,148,3,TRUE
18,1,130,1,FALSE
19,1,111,2,TRUE
20,1,154,5,FALSE
21,2,19,2,TRUE
22,2,149,1,FALSE
23,2,134,3,TRUE
24,2,62,5,FALSE
25,2,73,5,TRUE
26,2,33,5,FALSE
27,2,59,3,TRUE
28,2,177,5,FALSE
29,2,122,4,TRUE
30,2,6,3,FALSE
31,2,70,1,TRUE
32,2,146,3,FALSE
33,2,58,2,TRUE
34,2,30,3,FALSE
35,2,20,4,TRUE
36,2,38,2,FALSE
37,2,39,5,TRUE
38,2,5,5,FALSE
39,2,6,4,TRUE
40,2,144,5,FALSE
41,3,180,1,TRUE
42,3,8,1,FALSE
43,3,94,3,TRUE
44,3,70,4,FALSE
45,3,19,4,TRUE
46,3,55,3,FALSE
47,3,190,1,TRUE
48,3,162,1,FALSE
49,3,39,1,TRUE
50,3,200,5,FALSE
51,3,197,2,TRUE
52,3,150,3,FALSE
53,3,143,4,TRUE
54,3,180,1,FALSE
55,3,196,2,TRUE
56,3,119,4,FALSE
57,3,50,1,TRUE
58,3,194,4,FALSE
59,3,32,1,TRUE
60,3,114,3,FALSE
61,4,175,1,TRUE
62,4,125,3,FALSE
63,4,174,2,TRUE
64,4,55,5,FALSE
65,4,81,4,TRUE
66,4,196,1,FALSE
67,4,111,3,TRUE
68,4,104,3,FALSE
69,4,165,5,TRUE
70,4,160,1,FALSE
71,4,191,5,TRUE
72,4,191,4,FALSE
73,4,3,2,TRUE
74,4,92,5,FALSE
75,4,39,5,TRUE
76,4,134,1,FALSE
77,4,3,2,TRUE
78,4,105,3,FALSE
79,4,64,2,TRUE
80,4,164,4,FALSE
81,5,134,1,TRUE
82,5,76,3,FALSE
83,5,91,3,TRUE
84,5,188,4,FALSE
85,5,187,3,TRUE
86,5,158,3,FALSE
87,5,95,1,TRUE
88,5,65,5,FALSE
89,5,74,1,TRUE
90,5,21,5,FALSE
91,5,198,2,TRUE
92,5,169,5,FALSE
93,5,150,3,TRUE
94,5,114,2,FALSE
95,5,129,5,TRUE
96,5,59,5,FALSE
97,5,150,2,TRUE
98,5,143,4,FALSE
99,5,61,1,TRUE
100,5,14,1,FALSE
101,6,7,5,TRUE
102,6,98,2,FALSE
103,6,56,4,TRUE
104,6,36,3,FALSE
105,6,48,3,TRUE
106,6,5,5,FALSE
107,6,133,4,TRUE
108,6,52,5,FALSE
109,6,172,5,TRUE
110,6,52,4,FALSE
111,6,104,5,TRUE
112,6,50,5,FALSE
113,6,190,5,TRUE
114,6,83,5,FALSE
115,6,130,4,TRUE
116,6,165,3,FALSE
117,6,185,1,TRUE
118,6,65,4,FALSE
119,6,59,5,TRUE
120,6,133,1,FALSE
121,7,88,5,TRUE
122,7,176,4,FALSE
123,7,20,2,TRUE
124,7,43,5,FALSE
125,7,8,5,TRUE
126,7,123,2,FALSE
127,7,57,2,TRUE
128,7,169,1,FALSE
129,7,151,1,TRUE
130,7,180,4,FALSE
131,7,140,2,TRUE
132,7,144,2,FALSE
133,7,166,4,TRUE
134,7,190,4,FALSE
135,7,183,2,TRUE
136,7,92,2,FALSE
137,7,93,1,TRUE
138,7,85,5,FALSE
139,7,28,2,TRUE
140,7,98,3,FALSE
141,8,30,4,TRUE
142,8,34,1,FALSE
143,8,99,1,TRUE
144,8,8,3,FALSE
145,8,175,5,TRUE
146,8,47,5,FALSE
147,8,189,1,TRUE
148,8,17,1,FALSE
149,8,56,5,TRUE
150,8,110,1,FALSE
151,8,1,1,TRUE
152,8,12,4,FALSE
153,8,25,1,TRUE
154,8,23,1,FALSE
155,8,192,1,TRUE
156,8,116,3,FALSE
157,8,42,2,TRUE
158,8,172,2,FALSE
159,8,58,1,TRUE
160,8,24,1,FALSE
161,9,125,5,TRUE
162,9,28,3,FALSE
163,9,3,3,TRUE
164,9,13,1,FALSE
165,9,152,1,TRUE
166,9,158,1,FALSE
167,9,113,4,TRUE
168,9,117,2,FALSE
169,9,103,2,TRUE
170,9,195,1,FALSE
171,9,37,2,TRUE
172,9,121,3,FALSE
173,9,48,3,TRUE
174,9,114,5,FALSE
175,9,92,4,TRUE
176,9,109,5,FALSE
177,9,170,5,TRUE
178,9,109,2,FALSE
179,9,167,4,TRUE
180,9,173,5,FALSE
181,10,111,4,TRUE
182,10,90,3,FALSE
183,10,47,5,TRUE
184,10,92,3,FALSE
185,10,70,3,TRUE
186,10,11,3,FALSE
187,10,195,5,TRUE
188,10,76,3,FALSE
189,10,164,3,TRUE
190,10,120,3,FALSE
191,10,128,4,TRUE
192,10,140,4,FALSE
193,10,46,5,TRUE
194,10,198,2,FALSE
195,10,154,3,TRUE
196,10,124,5,FALSE
197,10,45,3,TRUE
198,10,31,4,FALSE
199,10,149,3,TRUE
200,10,188,3,FALSE
201,11,35,4,TRUE
202,11,118,2,FALSE
203,11,115,3,TRUE
204,11,14,1,FALSE
205,11,191,3,TRUE
206,11,29,4,FALSE
207,11,140,5,TRUE
208,11,161,5,FALSE
209,11,161,1,TRUE
210,11,116,4,FALSE
211,11,107,1,TRUE
212,11,26,5,FALSE
213,11,106,2,TRUE
214,11,49,4,FALSE
215,11,117,2,TRUE
216,11,38,3,FALSE
217,11,10,5,TRUE
218,11,70,3,FALSE
219,11,185,2,TRUE
220,11,19,4,FALSE
221,12,62,4,TRUE
222,12,143,3,FALSE
223,12,198,4,TRUE
224,12,59,1,FALSE
225,12,107,3,TRUE
226,12,49,4,FALSE
227,12,60,4,TRUE
228,12,198,4,FALSE
229,12,152,2,TRUE
230,12,27,4,FALSE
231,12,183,2,TRUE
232,12,124,2,FALSE
233,12,155,2,TRUE
234,12,5,4,FALSE
235,12,33,4,TRUE
236,12,83,4,FALSE
237,12,68,2,TRUE
238,12,35,2,FALSE
239,12,124,3,TRUE
240,12,60,2,FALSE
241,13,4,5,TRUE
242,13,177,3,FALSE
243,13,151,5,TRUE
244,13,188,3,FALSE
245,13,188,5,TRUE
246,13,114,4,FALSE
247,13,79,5,TRUE
248,13,40,5,FALSE
249,13,58,5,TRUE
250,13,185,4,FALSE
251,13,159,2,TRUE
252,13,74,2,FALSE
253,13,9,1,TRUE
254,13,28,4,FALSE
255,13,50,5,TRUE
256,13,162,2,FALSE
257,13,126,3,TRUE
258,13,127,3,FALSE
259,13,165,4,TRUE
260,13,164,3,FALSE
261,14,48,5,TRUE
262,14,31,5,FALSE
263,14,21,4,TRUE
264,14,133,4,FALSE
265,14,110,3,TRUE
266,14,120,5,FALSE
267,14,153,4,TRUE
268,14,6,1,FALSE
269,14,170,2,TRUE
270,14,19,1,FALSE
271,14,106,2,TRUE
272,14,180,1,FALSE
273,14,48,3,TRUE
274,14,36,3,FALSE
275,14,67,2,TRUE
276,14,119,4,FALSE
277,14,136,4,TRUE
278,14,95,2,FALSE
279,14,159,4,TRUE
280,14,185,1,FALSE
281,15,88,2,TRUE
282,15,188,4,FALSE
283,15,24,4,TRUE
284,15,143,5,FALSE
285,15,25,1,TRUE
286,15,8,5,FALSE
287,15,12,1,TRUE
288,15,27,1,FALSE
289,15,153,2,TRUE
290,15,4,2,FALSE
291,15,56,4,TRUE
292,15,39,3,FALSE
293,15,37,5,TRUE
294,15,153,5,FALSE
295,15,177,4,TRUE
